Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
17/3/2009;21:47:00;2.806;0.000;239.990;12.000;0.000;26.000;0.000
3/6/2010;18:44:00;0.418;0.212;242.420;2.000;0.000;0.000;1.000
23/12/2008;23:53:00;0.212;0.000;244.630;0.800;0.000;0.000;0.000
11/11/2010;22:27:00;0.414;0.064;241.400;1.600;0.000;1.000;0.000
15/11/2009;01:18:00;1.800;0.078;239.430;7.400;0.000;0.000;0.000
27/4/2010;07:20:00;0.722;0.000;241.340;3.000;0.000;0.000;0.000
26/1/2010;09:44:00;1.762;0.098;242.240;7.200;0.000;0.000;19.000
17/7/2010;14:37:00;0.254;0.124;242.060;1.200;0.000;0.000;1.000
5/3/2008;20:03:00;2.732;0.234;232.650;11.800;0.000;4.000;17.000
23/9/2009;09:35:00;1.978;0.210;238.110;8.200;0.000;0.000;29.000
1/2/2009;03:45:00;0.320;0.078;246.900;1.400;0.000;1.000;0.000
17/8/2008;12:45:00;0.080;0.000;239.900;0.200;0.000;0.000;0.000
27/7/2007;16:32:00;1.266;0.078;236.410;5.400;0.000;0.000;17.000
23/6/2007;06:53:00;0.192;0.118;240.540;1.000;0.000;1.000;0.000
18/5/2007;02:34:00;0.286;0.058;237.700;1.200;0.000;0.000;0.000
18/7/2008;19:29:00;0.746;0.276;238.770;3.200;0.000;0.000;1.000
4/4/2010;09:06:00;0.434;0.000;241.420;1.800;0.000;0.000;1.000
28/7/2007;07:18:00;0.222;0.126;238.080;1.000;0.000;0.000;0.000
22/10/2009;20:45:00;1.936;0.262;240.670;8.000;0.000;2.000;18.000
25/8/2010;15:55:00;0.358;0.234;242.510;1.800;0.000;1.000;0.000
15/8/2010;13:33:00;0.160;0.000;244.190;0.600;0.000;0.000;1.000
8/1/2007;21:31:00;1.868;0.000;240.650;7.600;0.000;1.000;0.000
7/10/2009;15:49:00;0.374;0.114;241.690;1.600;0.000;0.000;1.000
17/7/2009;06:51:00;0.252;0.118;243.010;1.000;0.000;0.000;1.000
30/4/2008;09:52:00;1.328;0.000;241.970;5.400;0.000;0.000;19.000
29/4/2010;00:50:00;0.782;0.202;243.030;3.200;0.000;1.000;1.000
17/5/2007;10:58:00;0.220;0.000;233.450;1.000;0.000;0.000;0.000
7/3/2010;09:20:00;0.684;0.090;244.510;2.800;0.000;2.000;1.000
10/10/2009;12:56:00;0.536;0.202;239.110;2.400;0.000;0.000;1.000
18/1/2008;20:11:00;3.182;0.178;233.850;13.600;0.000;1.000;17.000
13/2/2007;07:05:00;0.776;0.142;240.730;3.200;0.000;0.000;0.000
28/1/2007;15:00:00;1.554;0.000;243.960;6.400;2.000;0.000;19.000
5/2/2010;14:37:00;0.254;0.000;247.610;1.000;0.000;0.000;1.000
3/12/2009;17:00:00;0.394;0.116;242.910;1.600;0.000;0.000;1.000
7/2/2008;00:23:00;0.322;0.100;242.210;1.400;0.000;0.000;0.000
24/9/2010;22:42:00;0.608;0.050;244.450;2.400;0.000;0.000;1.000
17/8/2010;19:02:00;0.166;0.000;239.880;0.800;0.000;0.000;1.000
28/2/2010;17:10:00;0.336;0.104;241.840;1.400;0.000;0.000;1.000
10/1/2009;18:09:00;3.098;0.500;241.040;13.000;0.000;0.000;18.000
11/7/2010;07:37:00;0.336;0.206;243.060;1.600;0.000;0.000;1.000
13/9/2008;16:26:00;2.362;0.132;239.130;10.600;1.000;19.000;18.000
19/9/2008;06:39:00;0.300;0.122;240.730;1.400;0.000;0.000;1.000
17/11/2009;22:12:00;1.640;0.302;240.140;6.800;0.000;1.000;0.000
24/4/2010;07:57:00;0.310;0.098;241.210;1.400;0.000;1.000;1.000
9/1/2009;05:05:00;0.444;0.220;247.610;2.000;0.000;1.000;0.000
9/9/2010;13:35:00;0.272;0.054;240.040;1.200;1.000;0.000;0.000
18/1/2008;02:23:00;0.358;0.000;243.260;1.600;0.000;0.000;0.000
21/7/2009;03:41:00;0.372;0.362;242.240;2.000;0.000;1.000;1.000
5/3/2007;05:23:00;0.292;0.084;241.030;1.200;0.000;1.000;0.000
22/3/2010;20:36:00;1.400;0.120;239.680;5.800;1.000;1.000;1.000
24/9/2007;07:51:00;2.032;0.186;236.840;8.600;0.000;1.000;17.000
7/2/2010;01:28:00;0.594;0.312;242.390;2.600;1.000;2.000;1.000
1/2/2010;15:15:00;0.386;0.198;249.850;1.800;0.000;1.000;1.000
3/5/2007;20:04:00;0.340;0.084;235.330;1.800;0.000;1.000;0.000
4/7/2009;23:42:00;1.032;0.112;242.030;4.200;0.000;0.000;0.000
17/1/2010;10:34:00;0.592;0.260;243.240;2.600;0.000;1.000;1.000
28/3/2008;19:29:00;4.996;0.264;236.430;21.000;38.000;0.000;17.000
12/4/2008;00:00:00;1.272;0.078;243.820;5.400;0.000;0.000;1.000
7/11/2008;12:17:00;1.494;0.136;240.710;6.200;0.000;2.000;18.000
16/5/2009;10:20:00;1.230;0.000;240.370;5.000;0.000;0.000;18.000
9/7/2007;09:38:00;1.232;0.054;238.960;5.000;0.000;0.000;18.000
2/4/2007;05:49:00;0.288;0.088;242.670;1.200;0.000;0.000;0.000
3/7/2009;22:08:00;0.234;0.116;241.240;1.000;0.000;0.000;1.000
23/1/2007;18:41:00;2.492;0.114;241.220;10.400;0.000;0.000;0.000
21/7/2010;19:20:00;0.274;0.116;240.550;1.200;0.000;0.000;1.000
28/8/2007;09:55:00;0.262;0.218;240.540;1.400;0.000;1.000;0.000
3/9/2010;06:44:00;0.812;0.064;239.730;3.400;0.000;0.000;1.000
22/3/2008;07:43:00;0.382;0.118;245.130;1.600;0.000;1.000;0.000
18/3/2010;22:24:00;0.820;0.088;239.870;3.400;0.000;0.000;1.000
29/6/2007;22:05:00;1.694;0.190;239.410;7.600;1.000;0.000;0.000
16/12/2007;19:38:00;3.204;0.482;237.370;13.800;0.000;2.000;18.000
5/6/2008;00:11:00;0.272;0.090;237.270;1.200;0.000;0.000;1.000
25/10/2010;20:28:00;1.690;0.284;243.560;7.000;0.000;0.000;1.000
6/2/2010;08:56:00;1.336;0.058;238.550;5.600;0.000;0.000;18.000
11/10/2008;09:08:00;1.586;0.160;236.780;6.600;0.000;0.000;18.000
4/3/2010;00:36:00;0.268;0.000;242.510;1.200;0.000;0.000;1.000
1/2/2007;16:09:00;0.240;0.000;241.340;1.000;0.000;0.000;0.000
4/5/2009;11:13:00;1.394;0.062;242.010;5.600;0.000;0.000;19.000
10/11/2010;00:47:00;0.622;0.046;241.510;2.600;0.000;0.000;0.000
16/9/2007;05:48:00;0.110;0.000;242.170;0.400;0.000;0.000;0.000
22/10/2009;15:23:00;0.418;0.216;244.520;1.800;0.000;0.000;1.000
3/9/2009;03:02:00;0.398;0.232;240.470;2.000;0.000;1.000;1.000
23/12/2008;03:26:00;0.216;0.000;245.300;0.800;0.000;0.000;0.000
22/1/2009;22:57:00;0.368;0.096;245.950;1.600;0.000;0.000;0.000
27/12/2008;13:43:00;1.622;0.148;242.020;6.600;0.000;0.000;0.000
30/5/2007;03:17:00;0.294;0.052;236.040;1.400;0.000;1.000;0.000
20/3/2009;16:35:00;0.324;0.116;246.420;1.400;0.000;0.000;0.000
16/1/2007;07:02:00;3.494;0.198;242.140;14.800;0.000;0.000;18.000
30/12/2008;07:52:00;0.390;0.216;244.840;1.800;0.000;1.000;0.000
26/12/2007;20:41:00;0.442;0.114;239.110;1.800;0.000;0.000;0.000
31/5/2010;09:23:00;1.236;0.000;238.140;5.200;0.000;0.000;18.000
25/11/2009;07:12:00;2.522;0.000;240.940;10.400;0.000;0.000;18.000
14/10/2009;09:35:00;3.438;0.050;235.290;14.600;37.000;0.000;17.000
21/5/2009;22:21:00;0.898;0.250;242.210;4.000;0.000;1.000;11.000
19/4/2007;14:52:00;0.446;0.230;239.790;2.000;0.000;0.000;0.000
10/3/2008;18:09:00;0.484;0.206;241.670;2.200;0.000;0.000;0.000
13/5/2010;12:12:00;1.444;0.070;239.790;6.000;1.000;0.000;19.000
29/7/2009;11:41:00;1.342;0.088;240.170;5.600;0.000;1.000;19.000
18/8/2010;15:42:00;?;?;?;?;?;?;
14/7/2008;18:32:00;2.030;0.278;236.940;8.800;0.000;21.000;1.000
2/2/2009;17:39:00;0.276;0.000;244.380;1.200;0.000;0.000;0.000
18/5/2009;15:17:00;0.408;0.204;241.980;1.800;0.000;0.000;0.000
31/12/2007;22:44:00;1.614;0.084;240.020;6.600;0.000;1.000;18.000
14/2/2008;08:50:00;4.030;0.000;236.470;17.400;33.000;0.000;17.000
25/10/2008;04:11:00;1.460;0.046;244.060;6.000;0.000;0.000;18.000
13/12/2008;00:31:00;0.210;0.054;242.650;0.800;0.000;0.000;0.000
28/3/2010;07:58:00;0.362;0.126;245.510;1.600;0.000;0.000;1.000
15/5/2008;06:20:00;3.616;0.198;236.330;15.400;0.000;0.000;1.000
30/11/2007;14:07:00;4.096;0.000;243.950;17.000;0.000;31.000;18.000
26/6/2007;04:25:00;0.192;0.092;241.050;0.800;0.000;1.000;0.000
27/10/2010;11:35:00;3.694;0.104;242.890;15.200;0.000;38.000;19.000
1/7/2010;20:39:00;0.472;0.174;239.550;2.200;0.000;0.000;1.000
5/3/2010;22:24:00;0.516;0.116;240.980;2.200;0.000;0.000;1.000
12/3/2010;04:52:00;0.316;0.102;243.650;1.400;0.000;0.000;1.000
14/2/2010;15:23:00;1.944;0.196;246.010;7.800;0.000;1.000;19.000
28/8/2010;13:02:00;4.000;0.716;240.940;17.600;23.000;2.000;30.000
29/1/2007;08:17:00;1.398;0.064;238.890;5.800;0.000;0.000;17.000
4/2/2008;00:41:00;0.326;0.104;243.390;1.400;0.000;0.000;0.000
10/8/2008;17:32:00;0.080;0.000;240.000;0.200;0.000;0.000;1.000
26/6/2009;16:24:00;0.942;0.244;240.140;4.000;0.000;0.000;12.000
14/9/2010;03:35:00;0.216;0.072;242.220;1.000;0.000;1.000;1.000
21/4/2009;04:45:00;1.302;0.000;241.470;5.400;0.000;0.000;1.000
20/8/2009;11:20:00;0.850;0.130;239.670;3.600;0.000;0.000;13.000
30/11/2007;11:12:00;1.602;0.064;243.070;6.600;0.000;0.000;19.000
1/12/2009;14:21:00;0.966;0.000;247.180;3.800;0.000;0.000;1.000
14/12/2009;16:21:00;0.726;0.108;248.360;3.000;0.000;0.000;0.000
7/5/2010;05:37:00;0.338;0.062;237.090;1.400;0.000;0.000;0.000
19/8/2007;02:21:00;0.176;0.104;241.240;0.800;0.000;0.000;0.000
13/2/2008;07:28:00;2.272;0.096;238.960;9.400;0.000;1.000;18.000
3/5/2007;08:36:00;1.092;0.046;230.910;4.600;0.000;0.000;16.000
24/6/2010;09:25:00;1.292;0.000;243.100;5.200;0.000;0.000;19.000
13/3/2009;22:10:00;1.628;0.000;242.110;6.600;0.000;0.000;18.000
28/6/2010;03:01:00;0.726;0.336;240.570;3.200;0.000;2.000;1.000
6/11/2008;09:20:00;1.516;0.116;239.510;6.200;0.000;0.000;17.000
6/6/2007;09:28:00;1.448;0.152;230.700;6.400;0.000;2.000;16.000
22/12/2009;19:02:00;3.128;0.076;244.400;12.800;0.000;0.000;18.000
13/5/2009;06:20:00;0.460;0.196;242.480;2.000;0.000;1.000;1.000
28/2/2009;18:46:00;5.932;0.468;234.090;25.400;0.000;71.000;8.000
4/6/2010;06:50:00;1.622;0.000;238.760;6.800;0.000;0.000;18.000
22/3/2009;00:50:00;0.244;0.000;242.250;1.200;0.000;0.000;0.000
3/7/2009;06:16:00;0.310;0.246;243.350;1.600;0.000;1.000;0.000
17/5/2007;18:29:00;0.358;0.098;234.800;1.600;0.000;0.000;0.000
4/3/2008;10:21:00;0.504;0.086;240.710;2.200;0.000;0.000;0.000
20/2/2008;02:05:00;0.266;0.000;248.310;1.200;0.000;0.000;0.000
16/9/2007;20:17:00;1.890;0.000;235.380;8.000;0.000;0.000;17.000
5/8/2007;13:35:00;0.102;0.000;235.740;0.400;0.000;0.000;0.000
18/10/2008;13:17:00;1.420;0.126;240.660;6.600;0.000;0.000;1.000
9/8/2010;03:39:00;0.158;0.000;242.700;0.600;0.000;0.000;0.000
17/2/2009;07:28:00;0.364;0.056;241.030;1.400;0.000;2.000;0.000
5/12/2009;22:18:00;2.406;0.092;242.480;9.800;0.000;1.000;18.000
17/12/2006;20:06:00;2.550;0.048;233.020;11.000;0.000;0.000;17.000
4/5/2009;21:11:00;2.290;0.060;239.020;9.600;1.000;0.000;18.000
11/6/2008;10:56:00;0.290;0.104;236.870;1.200;0.000;2.000;0.000
14/2/2008;07:19:00;3.266;0.144;236.370;13.800;0.000;0.000;18.000
4/12/2007;09:48:00;0.230;0.000;242.390;1.000;0.000;0.000;0.000
25/9/2007;05:14:00;0.114;0.000;241.050;0.600;0.000;0.000;0.000
23/5/2008;13:34:00;1.332;0.096;240.050;5.400;0.000;0.000;19.000
15/7/2007;23:31:00;1.268;0.082;238.630;5.200;0.000;1.000;17.000
24/8/2009;02:59:00;0.324;0.248;241.740;1.600;0.000;0.000;0.000
27/4/2007;06:06:00;0.204;0.094;235.620;1.000;0.000;0.000;0.000
27/6/2009;06:25:00;0.156;0.000;243.120;0.600;0.000;0.000;1.000
6/3/2009;15:51:00;1.696;0.114;241.630;7.200;0.000;0.000;18.000
15/9/2010;18:14:00;0.386;0.308;241.000;2.000;0.000;1.000;1.000
22/3/2007;16:09:00;0.218;0.000;243.460;0.800;0.000;0.000;0.000
17/2/2010;00:24:00;0.418;0.054;245.150;1.600;0.000;1.000;1.000
24/10/2009;16:36:00;1.406;0.068;239.570;5.800;0.000;0.000;19.000
1/3/2008;15:49:00;0.564;0.068;238.760;2.400;0.000;0.000;0.000
18/2/2009;05:42:00;0.306;0.060;242.040;1.200;0.000;0.000;0.000
25/3/2010;17:22:00;0.288;0.000;242.410;1.200;0.000;0.000;1.000
10/12/2008;07:35:00;2.594;0.136;239.610;10.800;0.000;0.000;18.000
17/9/2008;01:08:00;0.232;0.110;243.290;1.000;0.000;0.000;1.000
2/12/2007;07:12:00;0.208;0.000;242.200;0.800;0.000;0.000;0.000
12/8/2010;01:06:00;1.204;0.000;238.530;5.000;0.000;0.000;18.000
11/3/2008;10:06:00;0.690;0.242;237.420;3.200;0.000;2.000;0.000
27/7/2010;01:56:00;0.404;0.090;237.590;1.800;2.000;1.000;0.000
21/9/2010;21:00:00;2.484;0.166;237.440;10.400;0.000;1.000;18.000
5/10/2008;09:09:00;0.244;0.000;242.220;1.000;0.000;0.000;1.000
17/8/2008;05:52:00;0.170;0.148;242.860;0.800;0.000;0.000;1.000
26/7/2008;15:16:00;1.002;0.254;242.750;4.400;0.000;0.000;11.000
8/7/2007;22:46:00;1.352;0.216;239.460;5.600;0.000;1.000;18.000
11/10/2008;14:56:00;0.574;0.094;241.290;2.400;1.000;0.000;1.000
11/5/2008;11:50:00;0.992;0.116;242.040;4.600;0.000;1.000;11.000
17/6/2009;02:02:00;0.210;0.096;241.120;1.000;0.000;0.000;1.000
4/3/2009;05:55:00;0.266;0.048;245.220;1.200;0.000;0.000;0.000
23/2/2007;23:51:00;0.808;0.128;244.140;3.200;0.000;0.000;0.000
26/6/2010;19:55:00;0.342;0.246;242.660;1.600;0.000;1.000;1.000
26/6/2009;17:11:00;0.610;0.104;238.480;2.800;0.000;0.000;1.000
3/3/2009;14:30:00;1.610;0.166;240.110;6.600;0.000;0.000;18.000
20/11/2009;06:43:00;0.536;0.000;245.630;2.200;0.000;0.000;1.000
28/11/2007;11:05:00;1.360;0.068;241.600;5.600;0.000;0.000;18.000
22/5/2010;21:59:00;1.622;0.090;237.510;6.800;1.000;0.000;18.000
21/11/2007;04:31:00;0.344;0.102;245.340;1.400;0.000;0.000;0.000
14/8/2009;15:18:00;0.424;0.234;240.430;2.000;0.000;1.000;1.000
11/9/2009;05:50:00;0.246;0.116;242.890;1.000;0.000;0.000;0.000
31/7/2008;11:45:00;0.420;0.108;239.340;2.000;0.000;0.000;0.000
5/3/2007;12:53:00;0.280;0.000;242.000;1.200;0.000;0.000;0.000
15/6/2009;15:10:00;0.332;0.242;242.000;1.600;0.000;1.000;1.000
16/7/2010;14:02:00;0.744;0.048;239.480;3.200;0.000;1.000;1.000
10/4/2007;19:47:00;0.488;0.114;242.010;2.200;0.000;0.000;0.000
30/5/2008;10:06:00;1.682;0.290;234.820;7.200;0.000;3.000;18.000
14/2/2008;21:52:00;2.896;0.068;238.690;12.000;0.000;0.000;0.000
25/8/2008;14:58:00;0.156;0.120;239.920;0.800;0.000;0.000;1.000
23/5/2009;13:27:00;3.206;0.064;239.310;13.800;0.000;21.000;18.000
9/5/2010;18:35:00;0.368;0.074;239.080;1.600;0.000;0.000;0.000
6/1/2008;17:55:00;3.174;0.080;234.060;13.400;0.000;37.000;0.000
24/9/2007;11:25:00;0.264;0.202;236.030;1.400;0.000;1.000;0.000
26/5/2007;20:39:00;1.430;0.154;231.480;6.200;0.000;0.000;17.000
2/2/2007;04:31:00;0.224;0.000;242.680;1.000;0.000;0.000;0.000
2/4/2010;14:42:00;0.462;0.230;244.550;2.000;0.000;1.000;1.000
6/12/2007;16:03:00;0.228;0.000;241.610;1.000;0.000;0.000;0.000
17/3/2008;01:55:00;0.382;0.212;241.820;1.800;0.000;1.000;0.000
3/5/2007;22:26:00;1.386;0.202;236.000;5.800;0.000;1.000;17.000
15/3/2009;11:21:00;0.696;0.080;242.790;3.000;0.000;0.000;0.000
28/5/2008;21:01:00;0.698;0.154;240.330;3.000;0.000;0.000;0.000
14/1/2007;08:39:00;2.554;0.074;240.180;10.800;0.000;0.000;0.000
10/8/2007;01:54:00;0.104;0.000;236.940;0.400;0.000;0.000;0.000
24/12/2007;01:25:00;1.328;0.000;244.490;5.400;0.000;0.000;19.000
24/8/2009;08:51:00;1.690;0.202;239.970;7.200;0.000;0.000;24.000
4/5/2007;01:04:00;0.268;0.188;236.700;1.400;0.000;1.000;0.000
10/8/2010;02:53:00;0.178;0.000;242.710;0.800;0.000;0.000;1.000
11/9/2008;12:03:00;0.316;0.200;238.030;1.600;0.000;0.000;0.000
13/9/2009;05:46:00;0.132;0.000;241.540;0.600;0.000;0.000;0.000
5/2/2008;18:21:00;2.810;0.124;235.770;11.800;0.000;0.000;17.000
1/1/2010;07:33:00;0.562;0.000;241.480;2.200;0.000;0.000;1.000
2/8/2010;02:21:00;0.316;0.208;240.550;1.600;0.000;2.000;1.000
16/2/2009;22:40:00;1.368;0.054;237.980;5.600;0.000;0.000;18.000
30/11/2009;07:42:00;2.260;0.088;242.240;9.200;0.000;0.000;19.000
20/2/2008;18:58:00;4.712;0.594;235.430;20.200;0.000;1.000;17.000
13/2/2009;12:19:00;1.288;0.000;240.620;5.200;0.000;0.000;18.000
29/9/2007;15:38:00;1.524;0.212;239.350;6.400;2.000;0.000;17.000
9/3/2009;15:09:00;0.622;0.110;245.140;3.200;0.000;0.000;4.000
14/4/2010;15:34:00;1.622;0.236;241.030;7.600;0.000;22.000;0.000
15/8/2008;20:19:00;0.262;0.242;241.480;1.400;0.000;0.000;1.000
3/1/2008;19:10:00;1.966;0.000;236.030;8.200;0.000;0.000;17.000
31/7/2008;23:06:00;2.252;0.474;241.070;9.600;0.000;1.000;12.000
12/9/2009;03:41:00;0.216;0.108;243.030;1.000;0.000;2.000;0.000
15/10/2010;15:34:00;0.530;0.170;241.280;2.200;0.000;0.000;1.000
4/12/2009;06:06:00;0.322;0.000;244.930;1.400;0.000;0.000;1.000
15/12/2007;16:21:00;1.466;0.000;243.840;6.000;0.000;0.000;18.000
27/4/2009;17:10:00;0.316;0.000;239.720;1.400;0.000;0.000;0.000
9/2/2008;10:53:00;1.948;0.062;238.380;8.200;0.000;0.000;17.000
7/3/2007;02:54:00;0.280;0.062;241.310;1.200;0.000;0.000;0.000
11/10/2008;19:41:00;4.048;0.438;234.970;17.800;7.000;0.000;17.000
29/2/2008;18:19:00;0.484;0.000;234.080;2.000;0.000;0.000;0.000
20/1/2009;04:37:00;1.412;0.056;245.590;5.600;0.000;1.000;19.000
4/9/2010;00:37:00;0.274;0.060;239.970;1.200;0.000;0.000;1.000
23/11/2010;15:10:00;0.236;0.052;245.270;1.000;0.000;0.000;0.000
16/1/2009;21:30:00;4.000;0.318;239.440;16.600;38.000;1.000;0.000
28/12/2006;00:58:00;0.264;0.098;243.800;1.200;0.000;0.000;0.000
8/6/2008;15:23:00;3.956;0.200;240.090;16.400;38.000;0.000;18.000
8/7/2010;03:41:00;0.344;0.218;240.660;1.600;0.000;2.000;1.000
23/4/2008;18:28:00;0.360;0.124;242.480;1.600;0.000;0.000;0.000
16/7/2010;20:02:00;0.238;0.100;243.440;1.000;0.000;0.000;0.000
21/6/2010;01:04:00;0.966;0.306;242.850;4.200;0.000;0.000;12.000
21/9/2009;11:17:00;1.412;0.230;240.130;5.800;0.000;2.000;18.000
9/3/2008;11:25:00;0.628;0.318;238.170;3.000;0.000;1.000;0.000
15/3/2009;18:19:00;0.410;0.082;241.290;1.800;0.000;0.000;0.000
11/4/2008;04:11:00;0.258;0.000;244.110;1.000;0.000;0.000;1.000
15/2/2008;16:49:00;1.398;0.086;241.560;5.800;0.000;0.000;18.000
21/11/2010;08:48:00;1.394;0.062;241.690;5.800;0.000;0.000;18.000
28/12/2006;23:28:00;2.914;0.274;244.090;12.000;0.000;2.000;0.000
7/6/2007;05:23:00;0.268;0.076;234.460;1.200;0.000;0.000;0.000
1/8/2009;16:51:00;1.200;0.000;239.150;5.000;0.000;0.000;18.000
3/6/2010;20:24:00;0.360;0.210;242.110;1.800;0.000;0.000;0.000
27/8/2010;07:18:00;0.176;0.000;240.790;0.800;0.000;0.000;0.000
19/4/2008;01:01:00;0.686;0.124;244.150;2.800;0.000;0.000;1.000
3/8/2009;16:07:00;0.234;0.136;244.070;1.000;0.000;0.000;1.000
18/10/2010;04:14:00;0.362;0.098;243.350;1.600;0.000;0.000;1.000
11/2/2008;11:46:00;1.298;0.000;241.560;5.200;0.000;0.000;18.000
12/5/2008;10:56:00;2.336;0.234;236.350;10.000;1.000;1.000;23.000
12/11/2007;02:28:00;1.402;0.056;242.210;5.800;0.000;0.000;18.000
17/6/2010;16:48:00;0.278;0.106;239.990;1.200;0.000;0.000;1.000
12/5/2010;23:54:00;0.370;0.098;241.390;1.600;0.000;0.000;1.000
18/2/2010;02:00:00;0.248;0.054;244.250;1.000;0.000;0.000;1.000
27/12/2007;09:46:00;0.922;0.000;241.490;3.800;0.000;0.000;0.000
25/8/2008;22:48:00;0.182;0.154;241.950;1.000;0.000;0.000;1.000
9/8/2010;23:27:00;0.256;0.124;242.470;1.200;0.000;0.000;1.000
3/5/2010;21:47:00;2.452;0.188;232.730;10.600;0.000;0.000;27.000
25/2/2007;11:41:00;0.302;0.136;246.590;1.400;0.000;1.000;0.000
26/9/2009;23:57:00;0.598;0.000;241.970;2.400;0.000;0.000;1.000
27/1/2009;14:17:00;0.452;0.086;244.900;1.800;0.000;0.000;0.000
6/1/2010;01:21:00;0.342;0.120;244.820;1.400;0.000;0.000;1.000
16/5/2010;05:34:00;0.386;0.092;241.220;1.600;0.000;0.000;0.000
17/3/2010;10:12:00;1.396;0.116;240.200;5.800;0.000;0.000;19.000
10/8/2009;23:39:00;1.386;0.234;241.320;5.800;0.000;2.000;19.000
6/7/2007;14:09:00;0.232;0.118;240.330;1.000;0.000;0.000;0.000
25/9/2007;13:27:00;0.732;0.000;239.030;3.000;0.000;0.000;0.000
5/5/2010;06:57:00;2.222;0.054;233.890;9.800;0.000;1.000;18.000
27/7/2008;01:57:00;0.400;0.326;238.110;2.000;0.000;2.000;1.000
24/4/2009;04:35:00;1.468;0.120;240.150;6.000;0.000;0.000;18.000
6/11/2010;01:42:00;1.046;0.448;240.190;4.600;0.000;1.000;12.000
22/7/2009;01:56:00;0.228;0.102;241.760;1.000;0.000;0.000;0.000
31/8/2009;17:48:00;0.532;0.340;242.470;2.600;0.000;1.000;0.000
19/2/2009;22:41:00;0.456;0.168;243.750;2.000;0.000;1.000;0.000
13/3/2010;22:21:00;1.434;0.106;241.200;5.800;0.000;0.000;19.000
27/9/2009;21:30:00;2.252;0.108;239.080;9.400;1.000;0.000;18.000
22/4/2010;05:28:00;0.350;0.058;239.820;1.400;0.000;0.000;1.000
10/5/2010;00:38:00;0.268;0.050;242.720;1.200;0.000;0.000;0.000
17/2/2010;10:31:00;1.508;0.060;241.560;6.200;0.000;0.000;18.000
12/1/2007;15:52:00;0.218;0.000;245.250;1.000;0.000;0.000;0.000
11/4/2010;17:57:00;0.452;0.066;241.240;2.000;0.000;0.000;1.000
12/6/2008;08:27:00;2.258;0.228;235.120;10.200;1.000;0.000;18.000
18/12/2009;23:32:00;0.472;0.070;249.150;1.800;0.000;0.000;0.000
4/1/2007;01:51:00;2.466;0.266;240.040;10.200;0.000;2.000;0.000
4/1/2007;22:04:00;0.550;0.154;238.550;2.400;0.000;0.000;0.000
30/11/2008;06:31:00;0.316;0.086;244.920;1.200;0.000;0.000;0.000
27/5/2007;17:01:00;1.852;0.264;236.230;7.800;1.000;1.000;17.000
20/1/2010;04:42:00;0.270;0.000;247.290;1.000;0.000;0.000;1.000
1/2/2009;00:41:00;2.856;0.116;244.700;11.600;0.000;0.000;18.000
